list,bloc
Listes Extreme gauche,Gauche radicale et extreme gauche
Listes Parti communiste  (PCF),Gauche radicale et extreme gauche
Listes Parti Socialiste (PS),Gauche
Listes du mouvement des radicaux de gauche,Gauche radicale et extreme gauche
Autres listes majorite presidentielle,Gauche
Listes Ecologistes,Ecologism
Listes Divers,Autre
Listes Divers droite,Droite
Listes Union pour la Democratie Francaise (UDF),Droite
Listes Rassemblement pour la Republique (RPR),Droite
Listes d'union RPR-UDF,Droite
Listes Front national,Droite radicale et extreme droite
