"","pollName","pollster_id","year"
"1","BVA",1,2017
"2","CSA",2,2017
"3","Elabe",3,2017
"4","Future Thinking",4,2017
"5","Harris Interactive",5,2017
"6","Ifop",6,2017
"7","Ipsos",7,2017
"8","Kantar Sofres",8,2017
"9","Le Terrain",9,2017
"10","Odoxa",10,2017
"11","OpinionWay",11,2017
"12","TNS Sofres",12,2017
"13","3%",1,2012
"14","BVA",2,2012
"15","CSA",3,2012
"16","Harris Interactive",4,2012
"17","Ifop",5,2012
"18","Ipsos",6,2012
"19","LH2",7,2012
"20","OpinionWay",8,2012
"21","TNS Sofres",9,2012
"22","BVA",1,2007
"23","CSA",2,2007
"24","Ifop",3,2007
"25","Ipsos",4,2007
"26","LH2",5,2007
"27","OpinionWay",6,2007
"28","TNS Sofres",7,2007
"29","BVA",1,2002
"30","CSA",2,2002
"31","Ifop",3,2002
"32","Ipsos",4,2002
"33","Louis Harris",5,2002
"34","Sofres",6,2002
